Published Paper,GPTZero Scan,Example of Verified Hallucination,Comment
Diversity Is All You Need for Contrastive Learning: Spectral Bounds on Gradient Magnitudes,"Sources

AI**","Longxuan Jing, Yu Tian, Yujun Pei, Yibing Shen, and Jiashi Feng. Understanding contrastive representation learning through alignment and uniformity on the hypersphere. In International Conference on Learning Representations (ICLR), 2022.",No author match. Title matches this paper. Doesn't exist in publication.
TokenSwap: A Lightweight Method to Disrupt Memorized Sequences in LLMs ,"Sources

AI*","Yair Leviathan, Clemens Rosenbaum, and Slav Petrov. Fast inference from transformers via speculative decoding. In ICML, 2023.","Title, publisher, and date match this paper, but all authors except one surname (Leviathan) are different."
TokenSwap: A Lightweight Method to Disrupt Memorized Sequences in LLMs ,"Sources

AI*","Wenwen Chang, Tal Schuster, and Yann LeCun. Neural surgery for memorisation: Locating and removing verbatim recall neurons. In NeurIPS, 2024.",No author or title match. Doesn't exist in publication.
Learning the Wrong Lessons: Syntactic-Domain Spurious Correlations in Language Models ,"Sources

AI","M. Garcia and A. Thompson. Applications of llms in legal document analysis. Journal of Legal Technology, 7(1):50-65, 2024.",No author or title match. Publication doesn't exist.
Learning the Wrong Lessons: Syntactic-Domain Spurious Correlations in Language Models ,"Sources

AI","J. Smith and A. Patel. Leveraging large language models for financial forecasting. International Journal of Financial Technology, 9(2):101-115, 2024.",No author or title match. Publication doesn't exist.
JADE: Joint Alignment and Deep Embedding for Multi-Slice Spatial Transcriptomics ,"Sources

AI*","David Jones et al. Gpsa: Gene expression and histology-based spatial alignment. Nature Methods, 2023.",No author or title match. Doesn't exist in publication.
JADE: Joint Alignment and Deep Embedding for Multi-Slice Spatial Transcriptomics ,"Sources

AI*","Zhihao Chen, Hantao Zhang, Yuhan Zhang, Zhanlin Hu, Quanquan Gu, Qing Zhang, and Shuo Suo. Slat: a transformer-based method for simultaneous alignment and clustering of spatial transcriptomics data. Nature Communications, 14(1):5548, 2023.",No author or title match. Doesn't exist in publication.
Improved Regret Bounds for Linear Bandits with Heavy-Tailed Rewards,"Sources

AI","François Baccelli, Gérard H. Taché, and Etienne Altman. Flow complexity and heavytailed delays in packet networks. Performance Evaluation, 49(1-4):427-449, 2002.",No author or title match. Doesn't exist in publication.
Improved Regret Bounds for Linear Bandits with Heavy-Tailed Rewards,"Sources

AI","Saravanan Jebarajakirthy, Paurav Shukla, and Prashant Palvia. Heavy-tailed distributions in online ad response: A marketing analytics perspective. Journal of Business Research, 124:818-830, 2021.",No author or title match. Doesn't exist in publication.
AutoSciDACT: Automated Scientific Discovery through Contrastive Embedding and Hypothesis Testing,"Sources

AI","Mehdi Azabou, Micah Weber, Wenlin Ma, et al. Mineclip: Multimodal neural exploration of clip latents for automatic video annotation. arXiv preprint arXiv:2210.02870, 2022.",No author or title match. ArXiv ID leads to unrelated article.
